,cases,deaths,recovered,active
2020-01-30,1,0,0,1
2020-01-31,1,0,0,1
2020-02-01,1,0,0,1
2020-02-02,2,0,0,2
2020-02-03,3,0,0,3
2020-02-04,3,0,0,3
2020-02-05,3,0,0,3
2020-02-06,3,0,0,3
2020-02-07,3,0,0,3
2020-02-08,3,0,0,3
2020-02-09,3,0,0,3
2020-02-10,3,0,0,3
2020-02-11,3,0,0,3
2020-02-12,3,0,0,3
2020-02-13,3,0,0,3
2020-02-14,3,0,0,3
2020-02-15,3,0,0,3
2020-02-16,3,0,0,3
2020-02-17,3,0,0,3
2020-02-18,3,0,0,3
2020-02-19,3,0,0,3
2020-02-20,3,0,0,3
2020-02-21,3,0,0,3
2020-02-22,3,0,0,3
2020-02-23,3,0,0,3
2020-02-24,3,0,0,3
2020-02-25,3,0,0,3
2020-02-26,3,0,0,3
2020-02-27,3,0,0,3
2020-02-28,3,0,0,3
2020-02-29,3,0,0,3
2020-03-01,3,0,0,3
2020-03-02,5,0,0,5
2020-03-03,6,0,0,6
2020-03-04,28,0,0,28
2020-03-05,30,0,0,30
2020-03-06,31,0,0,31
2020-03-07,34,0,0,34
2020-03-08,39,0,0,39
2020-03-09,44,0,0,44
2020-03-10,50,0,0,50
2020-03-11,60,0,0,60
2020-03-12,74,1,3,70
2020-03-13,81,2,10,69
2020-03-14,84,2,10,72
2020-03-15,110,2,13,95
2020-03-16,114,2,13,99
2020-03-17,137,3,14,120
2020-03-18,151,3,14,134
2020-03-19,173,4,20,149
2020-03-20,223,4,23,196
2020-03-21,315,4,23,288
2020-03-22,360,7,24,329
2020-03-23,468,9,35,424
2020-03-24,519,10,40,469
2020-03-25,606,10,43,553
2020-03-26,694,16,45,633
2020-03-27,834,19,67,748
2020-03-28,918,19,80,819
2020-03-29,1024,27,96,901
2020-03-30,1251,32,102,1117
2020-03-31,1397,35,124,1238
2020-04-01,1834,41,144,1649
2020-04-02,2069,53,156,1860
2020-04-03,2547,62,163,2322
2020-04-04,3072,75,213,2784
2020-04-05,3577,83,275,3219
2020-04-06,4281,111,319,3851
2020-04-07,4789,124,353,4312
2020-04-08,5274,149,411,4714
2020-04-09,5865,169,478,5218
2020-04-10,6761,206,516,6039
2020-04-11,7529,242,653,6634
2020-04-12,8447,273,765,7409
2020-04-13,9352,324,980,8048
2020-04-14,10815,353,1190,9272
2020-04-15,11933,392,1344,10197
2020-04-16,12759,420,1515,10824
2020-04-17,13835,452,1767,11616
2020-04-18,14792,488,2015,12289
2020-04-19,16116,519,2302,13295
2020-04-20,17656,559,2842,14255
