,cases,deaths,recovered,active
2020-02-21,2,0,0,2
2020-02-22,2,0,0,2
2020-02-23,2,0,0,2
2020-02-24,2,0,0,2
2020-02-25,2,0,0,2
2020-02-26,3,0,0,3
2020-02-27,5,0,0,5
2020-02-28,7,0,0,7
2020-02-29,10,0,0,10
2020-03-01,12,0,0,12
2020-03-02,12,0,0,12
2020-03-03,15,0,0,15
2020-03-04,16,0,0,16
2020-03-05,20,0,0,20
2020-03-06,22,0,0,22
2020-03-07,37,0,0,37
2020-03-08,39,0,0,39
2020-03-09,59,0,0,59
2020-03-10,77,0,0,77
2020-03-11,99,0,0,99
2020-03-12,130,0,0,130
2020-03-13,164,0,0,164
2020-03-14,200,0,0,200
2020-03-15,253,0,0,253
2020-03-16,318,0,0,318
2020-03-17,421,0,0,421
2020-03-18,524,0,0,524
2020-03-19,677,0,0,677
2020-03-20,838,1,15,822
2020-03-21,943,1,36,906
2020-03-22,1207,1,37,1169
2020-03-23,1552,1,41,1510
2020-03-24,2000,3,53,1944
2020-03-25,2463,5,64,2394
2020-03-26,3011,8,70,2933
2020-03-27,3404,12,79,3313
2020-03-28,3824,12,89,3723
2020-03-29,4316,12,132,4172
2020-03-30,4782,15,161,4606
2020-03-31,5523,20,224,5279
2020-04-01,6186,21,226,5939
2020-04-02,6901,29,334,6538
2020-04-03,7533,36,357,7140
2020-04-04,7989,42,458,7489
2020-04-05,8618,46,546,8026
2020-04-06,8970,51,670,8249
2020-04-07,9313,59,770,8484
2020-04-08,9749,71,801,8877
2020-04-09,10067,79,1011,8977
2020-04-10,10441,92,1183,9166
2020-04-11,10825,96,1341,9388
2020-04-12,11223,103,1627,9493
2020-04-13,11809,110,1855,9844
2020-04-14,12159,117,2195,9847
2020-04-15,12526,126,2563,9837
2020-04-16,12802,140,2818,9844
2020-04-17,13073,148,3126,9799
2020-04-18,13265,158,3456,9651
2020-04-19,13491,171,3754,9566
2020-04-20,13713,173,4049,9491
2020-04-21,13942,181,4507,9254
2020-04-22,14498,189,5215,9094
