,cases,deaths,recovered,active
2020-02-28,1,0,0,1
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,1,0,0,1
2020-03-03,1,0,0,1
2020-03-04,2,0,0,2
2020-03-05,4,0,0,4
2020-03-06,4,0,0,4
2020-03-07,5,0,0,5
2020-03-08,5,0,0,5
2020-03-09,5,0,0,5
2020-03-10,5,0,0,5
2020-03-11,5,0,0,5
2020-03-12,5,0,0,5
2020-03-13,5,0,0,5
2020-03-14,6,0,0,6
2020-03-15,8,0,0,8
2020-03-16,8,0,0,8
2020-03-17,12,0,0,12
2020-03-18,20,0,0,20
2020-03-19,28,0,0,28
2020-03-20,39,0,0,39
2020-03-21,52,0,0,52
2020-03-22,66,0,0,66
2020-03-23,102,0,0,102
2020-03-24,155,0,0,155
2020-03-25,205,0,0,205
2020-03-26,283,0,0,283
2020-03-27,368,0,0,368
2020-03-28,451,0,0,451
2020-03-29,514,1,56,457
2020-03-30,589,1,63,525
2020-03-31,647,1,74,572
2020-04-01,708,1,82,625
2020-04-02,797,1,92,704
2020-04-03,868,1,103,764
2020-04-04,950,1,127,822
2020-04-05,1039,1,156,882
2020-04-06,1106,1,176,929
2020-04-07,1160,1,241,918
2020-04-08,1210,1,282,927
2020-04-09,1239,1,317,921
2020-04-10,1283,2,373,908
2020-04-11,1312,4,422,886
2020-04-12,1330,4,471,855
2020-04-13,1349,5,546,798
2020-04-14,1366,9,628,729
2020-04-15,1386,9,728,649
2020-04-16,1401,9,770,622
2020-04-17,1409,11,816,582
2020-04-18,1422,11,867,544
2020-04-19,1431,12,912,507
2020-04-20,1440,12,970,458
2020-04-21,1445,13,1006,426
2020-04-22,1451,14,1036,401
