,cases,deaths,recovered,active
2020-01-20,1.0,0.0,0.0,1.0
2020-01-21,1.0,0.0,0.0,1.0
2020-01-22,1.0,0.0,0.0,1.0
2020-01-23,1.0,0.0,0.0,1.0
2020-01-24,2.0,0.0,0.0,2.0
2020-01-25,2.0,0.0,0.0,2.0
2020-01-26,3.0,0.0,0.0,3.0
2020-01-27,4.0,0.0,0.0,4.0
2020-01-28,4.0,0.0,0.0,4.0
2020-01-29,4.0,0.0,0.0,4.0
2020-01-30,6.0,0.0,0.0,6.0
2020-01-31,11.0,0.0,0.0,11.0
2020-02-01,12.0,0.0,0.0,12.0
2020-02-02,15.0,0.0,0.0,15.0
2020-02-03,15.0,0.0,0.0,15.0
2020-02-04,16.0,0.0,0.0,16.0
2020-02-05,19.0,0.0,0.0,19.0
2020-02-06,23.0,0.0,0.0,23.0
2020-02-07,24.0,0.0,0.0,24.0
2020-02-08,24.0,0.0,0.0,24.0
2020-02-09,27.0,0.0,0.0,27.0
2020-02-10,27.0,0.0,0.0,27.0
2020-02-11,28.0,0.0,0.0,28.0
2020-02-12,28.0,0.0,0.0,28.0
2020-02-13,28.0,0.0,0.0,28.0
2020-02-14,28.0,0.0,0.0,28.0
2020-02-15,28.0,0.0,0.0,28.0
2020-02-16,29.0,0.0,0.0,29.0
2020-02-17,30.0,0.0,0.0,30.0
2020-02-18,31.0,0.0,0.0,31.0
2020-02-19,51.0,0.0,0.0,51.0
2020-02-20,104.0,1.0,16.0,87.0
2020-02-21,204.0,2.0,17.0,185.0
2020-02-22,433.0,2.0,18.0,413.0
2020-02-23,602.0,4.0,18.0,580.0
2020-02-24,833.0,7.0,24.0,802.0
2020-02-25,977.0,10.0,24.0,943.0
2020-02-26,1261.0,12.0,24.0,1225.0
2020-02-27,1766.0,13.0,27.0,1726.0
2020-02-28,2337.0,13.0,27.0,2297.0
2020-02-29,3150.0,17.0,28.0,3105.0
2020-03-01,4212.0,22.0,31.0,4159.0
2020-03-02,4812.0,28.0,34.0,4750.0
2020-03-03,5328.0,32.0,41.0,5255.0
2020-03-04,5766.0,35.0,88.0,5643.0
2020-03-05,6284.0,42.0,108.0,6134.0
2020-03-06,6767.0,44.0,118.0,6605.0
2020-03-07,7134.0,50.0,130.0,6954.0
2020-03-08,7382.0,51.0,166.0,7165.0
2020-03-09,7513.0,54.0,247.0,7212.0
2020-03-10,7755.0,60.0,288.0,7407.0
2020-03-11,7869.0,66.0,333.0,7470.0
2020-03-12,7979.0,67.0,510.0,7402.0
2020-03-13,8086.0,72.0,714.0,7300.0
2020-03-14,8162.0,75.0,834.0,7253.0
2020-03-15,8236.0,75.0,1137.0,7024.0
2020-03-16,8320.0,81.0,1401.0,6838.0
2020-03-17,8413.0,84.0,1540.0,6789.0
2020-03-18,8565.0,91.0,1947.0,6527.0
2020-03-19,8652.0,94.0,2233.0,6325.0
2020-03-20,8799.0,102.0,2612.0,6085.0
2020-03-21,8897.0,104.0,2909.0,5884.0
2020-03-22,8961.0,111.0,3166.0,5684.0
2020-03-23,9037.0,120.0,3507.0,5410.0
2020-03-24,9137.0,126.0,3730.0,5281.0
2020-03-25,9241.0,131.0,4144.0,4966.0
2020-03-26,9332.0,139.0,4528.0,4665.0
2020-03-27,9478.0,144.0,4811.0,4523.0
2020-03-28,9583.0,152.0,5033.0,4398.0
2020-03-29,9661.0,158.0,5228.0,4275.0
2020-03-30,9786.0,162.0,5408.0,4216.0
2020-03-31,9887.0,165.0,5567.0,4155.0
2020-04-01,9976.0,169.0,5828.0,3979.0
2020-04-02,10062.0,174.0,6021.0,3867.0
2020-04-03,10156.0,177.0,6325.0,3654.0
2020-04-04,10237.0,183.0,6463.0,3591.0
2020-04-05,10284.0,186.0,6598.0,3500.0
2020-04-06,10331.0,192.0,6694.0,3445.0
2020-04-07,10384.0,200.0,6776.0,3408.0
2020-04-08,10423.0,204.0,6973.0,3246.0
2020-04-09,10450.0,208.0,7117.0,3125.0
2020-04-10,10480.0,211.0,7243.0,3026.0
2020-04-11,10512.0,214.0,7368.0,2930.0
2020-04-12,10537.0,217.0,7447.0,2873.0
2020-04-13,10564.0,222.0,7534.0,2808.0
2020-04-14,10591.0,225.0,7616.0,2750.0
2020-04-15,10613.0,229.0,7757.0,2627.0
2020-04-16,10635.0,230.0,7829.0,2576.0
2020-04-17,10653.0,232.0,7937.0,2484.0
2020-04-18,10661.0,234.0,8042.0,2385.0
2020-04-19,10674.0,236.0,8114.0,2324.0
2020-04-20,10683.0,237.0,8213.0,2233.0
