,Date,Country,NewConfirmed,NewDeaths
0,2019-12-31,World,27.0,0.0
1,2020-01-01,World,0.0,0.0
2,2020-01-02,World,0.0,0.0
3,2020-01-03,World,17.0,0.0
4,2020-01-04,World,0.0,0.0
5,2020-01-05,World,15.0,0.0
6,2020-01-06,World,0.0,0.0
7,2020-01-07,World,0.0,0.0
8,2020-01-08,World,0.0,0.0
9,2020-01-09,World,0.0,0.0
10,2020-01-10,World,0.0,0.0
11,2020-01-11,World,0.0,1.0
12,2020-01-12,World,0.0,0.0
13,2020-01-13,World,1.0,0.0
14,2020-01-14,World,0.0,0.0
15,2020-01-15,World,1.0,1.0
16,2020-01-16,World,0.0,0.0
17,2020-01-17,World,5.0,0.0
18,2020-01-18,World,17.0,0.0
19,2020-01-19,World,136.0,1.0
20,2020-01-20,World,20.0,0.0
21,2020-01-21,World,153.0,3.0
22,2020-01-22,World,142.0,11.0
23,2020-01-23,World,97.0,0.0
24,2020-01-24,World,266.0,9.0
25,2020-01-25,World,453.0,15.0
26,2020-01-26,World,673.0,15.0
27,2020-01-27,World,797.0,25.0
28,2020-01-28,World,1767.0,25.0
29,2020-01-29,World,1480.0,26.0
30,2020-01-30,World,1756.0,38.0
31,2020-01-31,World,2003.0,43.0
32,2020-02-01,World,2120.0,46.0
33,2020-02-02,World,2608.0,46.0
34,2020-02-03,World,2818.0,57.0
35,2020-02-04,World,3243.0,65.0
36,2020-02-05,World,3907.0,66.0
37,2020-02-06,World,3751.0,72.0
38,2020-02-07,World,3218.0,73.0
39,2020-02-08,World,3442.0,86.0
40,2020-02-09,World,2619.0,89.0
41,2020-02-10,World,2988.0,97.0
42,2020-02-11,World,2565.0,108.0
43,2020-02-12,World,2072.0,97.0
44,2020-02-13,World,15151.0,255.0
45,2020-02-14,World,4215.0,13.0
46,2020-02-15,World,2560.0,144.0
47,2020-02-16,World,2162.0,142.0
48,2020-02-17,World,2067.0,106.0
49,2020-02-18,World,1995.0,98.0
50,2020-02-19,World,1864.0,139.0
51,2020-02-20,World,532.0,116.0
52,2020-02-21,World,996.0,119.0
53,2020-02-22,World,1085.0,112.0
54,2020-02-23,World,1008.0,104.0
55,2020-02-24,World,527.0,156.0
56,2020-02-25,World,793.0,79.0
57,2020-02-26,World,863.0,64.0
58,2020-02-27,World,1106.0,38.0
59,2020-02-28,World,1264.0,57.0
60,2020-02-29,World,1838.0,64.0
61,2020-03-01,World,1821.0,58.0
62,2020-03-02,World,2044.0,67.0
63,2020-03-03,World,1596.0,72.0
64,2020-03-04,World,2413.0,84.0
65,2020-03-05,World,2239.0,80.0
66,2020-03-06,World,2856.0,103.0
67,2020-03-07,World,3961.0,103.0
68,2020-03-08,World,3691.0,97.0
69,2020-03-09,World,3871.0,229.0
70,2020-03-10,World,4537.0,209.0
71,2020-03-11,World,4378.0,269.0
72,2020-03-12,World,6887.0,326.0
73,2020-03-13,World,8355.0,351.0
74,2020-03-14,World,9375.0,438.0
