Country,NewConfirmed,NewDeaths
Afghanistan,367.0,11.0
Albania,383.0,22.0
Algeria,1468.0,194.0
Andorra,545.0,22.0
Angola,17.0,2.0
Anguilla,3.0,0.0
Antigua and Barbuda,15.0,0.0
Argentina,1715.0,60.0
Armenia,853.0,8.0
Aruba,74.0,0.0
Australia,5956.0,45.0
Austria,12640.0,243.0
Azerbaijan,717.0,8.0
Bahamas,36.0,6.0
Bahrain,811.0,5.0
Bangladesh,164.0,17.0
Barbados,63.0,3.0
Belarus,861.0,13.0
Belgium,22194.0,2035.0
Belize,7.0,1.0
Benin,26.0,1.0
Bermuda,39.0,2.0
Bhutan,5.0,0.0
Bolivia,210.0,15.0
Bonaire Sint Eustatius and Saba,2.0,0.0
Bosnia and Herzegovina,781.0,32.0
Botswana,7.0,1.0
Brazil,13717.0,667.0
British Virgin Islands,3.0,0.0
Brunei,135.0,1.0
Bulgaria,577.0,23.0
Burkina Faso,384.0,19.0
Burundi,3.0,0.0
Cambodia,117.0,0.0
Cameroon,685.0,9.0
Canada,17883.0,380.0
Cape Verde,7.0,1.0
Cayman Islands,45.0,1.0
Central African Republic,9.0,0.0
Chad,9.0,0.0
Chile,5116.0,43.0
China,82784.0,3337.0
Colombia,1780.0,50.0
Congo,45.0,5.0
Costa Rica,483.0,2.0
Cote d'Ivoire,349.0,3.0
Croatia,1282.0,18.0
Cuba,396.0,11.0
Curacao,13.0,1.0
Cyprus,494.0,14.0
Czech Republic,5017.0,88.0
Democratic Republic of Congo,180.0,18.0
Denmark,5071.0,203.0
Djibouti,121.0,0.0
Dominica,15.0,0.0
Dominican Republic,1956.0,98.0
Ecuador,3995.0,220.0
Egypt,1322.0,85.0
El Salvador,78.0,4.0
Equatorial Guinea,16.0,0.0
Eritrea,31.0,0.0
Estonia,1149.0,21.0
Ethiopia,52.0,2.0
Faeroe Islands,184.0,0.0
Falkland Islands,5.0,0.0
Fiji,15.0,0.0
Finland,2308.0,34.0
France,78167.0,10328.0
French Polynesia,47.0,0.0
Gabon,30.0,1.0
Gambia,4.0,1.0
Georgia,196.0,3.0
Germany,103228.0,1861.0
Ghana,287.0,5.0
Gibraltar,113.0,1.0
Greece,1832.0,81.0
Greenland,11.0,0.0
Grenada,12.0,0.0
Guam,121.0,4.0
Guatemala,80.0,3.0
Guernsey,166.0,4.0
Guinea,144.0,0.0
Guinea-Bissau,33.0,0.0
Guyana,33.0,5.0
Haiti,25.0,1.0
Honduras,312.0,22.0
Hungary,895.0,58.0
Iceland,1586.0,6.0
India,5194.0,149.0
Indonesia,2738.0,221.0
International,696.0,7.0
Iran,62589.0,3872.0
Iraq,1031.0,64.0
Ireland,5709.0,210.0
Isle of Man,150.0,1.0
Israel,9248.0,65.0
Italy,135586.0,17129.0
Jamaica,63.0,3.0
Japan,3906.0,80.0
Jersey,170.0,3.0
Jordan,349.0,6.0
Kazakhstan,704.0,6.0
Kenya,172.0,6.0
Kosovo,184.0,5.0
Kuwait,743.0,1.0
Kyrgyzstan,270.0,4.0
Laos,12.0,0.0
Latvia,548.0,2.0
Lebanon,548.0,19.0
Liberia,14.0,3.0
Libya,19.0,1.0
Liechtenstein,78.0,1.0
Lithuania,880.0,15.0
Luxembourg,2970.0,44.0
Macedonia,599.0,26.0
Madagascar,85.0,0.0
Malawi,8.0,1.0
Malaysia,3963.0,63.0
Maldives,19.0,0.0
Mali,56.0,5.0
Malta,293.0,0.0
Mauritania,6.0,1.0
Mauritius,268.0,7.0
Mexico,2785.0,141.0
Moldova,1056.0,22.0
Monaco,79.0,2.0
Mongolia,15.0,0.0
Montenegro,241.0,2.0
Montserrat,6.0,0.0
Morocco,1184.0,90.0
Mozambique,10.0,0.0
Myanmar,22.0,1.0
Namibia,16.0,0.0
Nepal,9.0,0.0
Netherlands,19580.0,2101.0
New Caledonia,18.0,0.0
New Zealand,969.0,1.0
Nicaragua,6.0,1.0
Niger,278.0,11.0
Nigeria,254.0,6.0
Northern Mariana Islands,8.0,2.0
Norway,5863.0,69.0
Oman,419.0,2.0
Pakistan,4072.0,58.0
Palestine,260.0,1.0
Panama,2249.0,59.0
Papua New Guinea,2.0,0.0
Paraguay,115.0,5.0
Peru,2954.0,107.0
Philippines,3764.0,177.0
Poland,4848.0,129.0
Portugal,12442.0,345.0
Puerto Rico,573.0,23.0
Qatar,2057.0,6.0
Romania,4417.0,182.0
Russia,7497.0,58.0
Rwanda,105.0,0.0
Saint Kitts and Nevis,11.0,0.0
Saint Lucia,14.0,0.0
Saint Vincent and the Grenadines,8.0,0.0
San Marino,279.0,34.0
Saudi Arabia,2795.0,41.0
Senegal,237.0,2.0
Serbia,2447.0,61.0
Seychelles,11.0,0.0
Sierra Leone,6.0,0.0
Singapore,1481.0,6.0
Sint Maarten (Dutch part),40.0,8.0
Slovakia,581.0,2.0
Slovenia,1055.0,36.0
Somalia,8.0,0.0
South Africa,1749.0,13.0
South Korea,10384.0,200.0
South Sudan,1.0,0.0
Spain,140510.0,13798.0
Sri Lanka,185.0,6.0
Sudan,14.0,2.0
Suriname,10.0,1.0
Swaziland,10.0,0.0
Sweden,7693.0,591.0
Switzerland,22164.0,641.0
Syria,19.0,2.0
Taiwan,376.0,5.0
Tanzania,24.0,1.0
Thailand,2369.0,30.0
Timor,1.0,0.0
Togo,65.0,3.0
Trinidad and Tobago,107.0,8.0
Tunisia,596.0,22.0
Turkey,34109.0,725.0
Turks and Caicos Islands,8.0,1.0
Uganda,52.0,0.0
Ukraine,1462.0,45.0
United Arab Emirates,2359.0,12.0
United Kingdom,55242.0,6159.0
United States,398809.0,12895.0
United States Virgin Islands,45.0,1.0
Uruguay,424.0,7.0
Uzbekistan,504.0,2.0
Vatican,7.0,0.0
Venezuela,166.0,7.0
Vietnam,251.0,0.0
World,1391890.0,81478.0
Zambia,39.0,1.0
Zimbabwe,10.0,1.0
