,State,Date,ConfirmedToDate,Active,NewConfirmed,PrevNewConfirmed,GrowthRate,NewConfirmed2DayAvg,GrowthRate2DayAvg,GrowthRateChange,DaysToDoubleNew,DaysToDouble2DayAvgNew,DaysToDouble2DayAvgNewChange,DeathToDate,RecoveredToDate,NewDeaths,PrevNewDeaths,GrowthRateDeaths,NewDeaths2DayAvg,GrowthRateDeaths2DayAvg,GrowthRateDeathsChange,DaysToDoubleDeaths,DaysToDoubleDeaths2DayAvg,DaysToDoubleDeaths2DayAvgChange,Daysin1,Daysin5,Daysin100,Daysin250,Daysin1000,Daysin1Deaths,Daysin5Deaths,Daysin100Deaths,Daysin250Deaths,Daysin1000Deaths
0,Alabama,2020-03-11,5.0,0.0,5.0,0.0,1.0,2.5,1.0,,0.72,0.72,,0.0,0.0,0.0,0.0,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Alabama,2020-03-14,6.0,0.0,1.0,5.0,0.2,3.0,0.6,-0.4,3.5999999999999996,1.2,0.48,0.0,0.0,0.0,0.0,,0.0,,,,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Alabama,2020-03-15,12.0,0.0,6.0,1.0,1.0,3.5,0.5833333333333334,-0.016666666666666607,0.72,1.2342857142857142,0.03428571428571425,0.0,0.0,0.0,0.0,,0.0,,,,,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Alabama,2020-03-16,29.0,0.0,17.0,6.0,1.4166666666666667,11.5,0.9583333333333334,0.375,0.508235294117647,0.7513043478260869,-0.4829813664596273,0.0,0.0,0.0,0.0,,0.0,,,,,,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Alabama,2020-03-17,39.0,0.0,10.0,17.0,0.3448275862068966,13.5,0.46551724137931033,-0.49281609195402304,2.0879999999999996,1.5466666666666666,0.7953623188405797,0.0,0.0,0.0,0.0,,0.0,,,,,,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Alabama,2020-03-18,46.0,0.0,7.0,10.0,0.1794871794871795,8.5,0.21794871794871795,-0.24756852343059238,4.011428571428572,3.3035294117647056,1.756862745098039,0.0,0.0,0.0,0.0,,0.0,,,,,,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Alabama,2020-03-19,78.0,0.0,32.0,7.0,0.6956521739130435,19.5,0.42391304347826086,0.2059643255295429,1.035,1.6984615384615385,-1.6050678733031671,0.0,0.0,0.0,0.0,,0.0,,,,,,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Alabama,2020-03-20,83.0,0.0,5.0,32.0,0.0641025641025641,18.5,0.23717948717948717,-0.1867335562987737,11.232000000000001,3.0356756756756758,1.3372141372141373,0.0,0.0,0.0,0.0,,0.0,,,,,,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Alabama,2020-03-21,131.0,0.0,48.0,5.0,0.5783132530120482,26.5,0.3192771084337349,0.08209762125424774,1.245,2.2550943396226417,-0.780581336053034,0.0,0.0,0.0,0.0,,0.0,,,,,,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Alabama,2020-03-22,157.0,0.0,26.0,48.0,0.1984732824427481,37.0,0.2824427480916031,-0.03683436034213183,3.6276923076923078,2.549189189189189,0.2940948495665472,0.0,0.0,0.0,0.0,,0.0,,,,,,10.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Alabama,2020-03-23,196.0,0.0,39.0,26.0,0.2484076433121019,32.5,0.2070063694267516,-0.07543637866485148,2.898461538461538,3.478153846153846,0.928964656964657,0.0,0.0,0.0,0.0,,0.0,,,,,,11.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alabama,2020-03-24,242.0,0.0,46.0,39.0,0.23469387755102042,42.5,0.21683673469387754,0.00983036526712594,3.0678260869565217,3.320470588235294,-0.15768325791855187,0.0,0.0,0.0,0.0,,0.0,,,,,,12.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Alabama,2020-03-25,381.0,0.0,139.0,46.0,0.5743801652892562,92.5,0.3822314049586777,0.16539467026480015,1.2535251798561151,1.8836756756756756,-1.4367949125596184,1.0,0.0,1.0,0.0,inf,0.5,inf,,0.0,0.0,,13.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alabama,2020-03-26,517.0,0.0,136.0,139.0,0.3569553805774278,137.5,0.36089238845144356,-0.021339016507234132,2.017058823529412,1.9950545454545454,0.1113788697788698,1.0,0.0,0.0,1.0,0.0,0.5,0.5,-inf,inf,1.44,1.44,14.0,13.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
